iter	RMSE
372	1744.735496
373	1744.691611
374	1744.615009
375	1744.580395
376	1744.456725
377	1744.431687
378	1744.424
379	1744.386213
380	1744.154784
381	1743.915768
382	1743.772989
383	1743.740953
384	1743.614034
385	1743.381816
386	1743.265929
387	1743.248526
388	1743.170155
389	1743.100274
390	1742.882661
391	1742.781445
392	1742.733007
393	1742.699192
394	1742.630311
395	1742.495933
396	1742.44195
397	1742.399419
398	1742.264505
399	1742.167179
400	1742.133536
401	1742.059524
402	1742.037598
403	1742.011147
404	1741.984398
405	1741.96728
406	1741.941659
407	1741.918813
408	1741.887139
409	1741.868157
410	1741.825127
411	1741.745071
412	1741.705345
413	1741.686952
414	1741.490567
415	1741.474992
416	1741.342332
417	1741.300174
418	1741.132821
419	1741.083392
420	1740.951786
421	1740.933135
422	1740.896184
423	1740.868709
424	1740.844362
425	1740.808642
426	1740.790004
427	1740.768853
428	1740.72445
429	1740.54999
430	1740.510342
431	1740.489699
432	1740.469698
433	1740.322175
434	1740.292668
435	1740.269623
436	1740.239382
437	1740.194819
438	1740.17293
439	1740.072019
440	1739.668341
441	1739.51238
442	1739.475232
443	1739.457699
444	1739.453404
445	1739.422966
446	1739.399762
447	1739.382381
448	1739.358395
449	1739.335292
450	1739.313836
451	1739.29461
452	1739.25171
453	1739.203734
454	1739.152601
455	1739.027233
456	1738.98386
457	1738.961986
458	1738.930006
459	1738.894224
460	1738.870923
461	1738.800534
462	1738.739661
463	1738.71843
464	1738.641659
465	1738.606042
466	1738.558231
467	1738.523021
468	1738.307184
469	1738.257201
470	1738.219349
471	1738.188545
472	1738.104379
473	1738.073211
474	1737.993061
475	1737.971421
476	1737.886583
477	1737.858722
478	1737.798815
479	1737.748665
480	1737.727178
481	1737.704998
482	1737.681033
483	1737.472503
484	1737.287039
485	1737.183245
486	1736.906632
487	1736.804506
488	1736.781805
489	1736.725924
490	1736.709736
491	1736.612084
492	1736.387617
493	1736.289749
494	1736.262659
495	1736.226488
496	1736.026832
497	1735.979809
498	1735.957574
499	1735.932252
500	1735.898717
501	1735.846116
502	1735.810603
503	1735.780872
504	1735.68374
505	1735.60287
506	1735.542937
507	1735.522295
508	1735.506251
509	1735.459095
